Fecha	Número de pedido	SKU	Tipo de transacción	Tipo de pago	Detalles del pago	Monto	Cantidad	Título del producto
10/07/2020	701-8806840-2361859	SY-63AL-PF5L	Pago del pedido	Otros	Impuesto de envío	MXN$8.14		Lenovo Yoga Tablet 2 1050 25,7 cm WiFi FHD 16 GB Platino (Renewed)
10/07/2020	701-8806840-2361859	SY-63AL-PF5L	Pago del pedido	Otros	Impuesto del producto	MXN$248.28		Lenovo Yoga Tablet 2 1050 25,7 cm WiFi FHD 16 GB Platino (Renewed)
10/07/2020	701-2829424-7000239	FK-2B92-ML2C	Pago del pedido	Cargos de productos		MXN$4,741.38	1	DELL Latitude 3560 Negro Portátil 39.6 cm (15.6") 1366 x 768 Pixeles 2.2 GHz Intel® CoreTM i5 de quinta generación i5-5200U - Ordenador portátil (
10/07/2020	701-2829424-7000239	FK-2B92-ML2C	Pago del pedido	Tarifas de Amazon	Comisión	MXN$-474.14		DELL Latitude 3560 Negro Portátil 39.6 cm (15.6") 1366 x 768 Pixeles 2.2 GHz Intel® CoreTM i5 de quinta generación i5-5200U - Ordenador portátil (
10/07/2020	701-2829424-7000239	FK-2B92-ML2C	Pago del pedido	Tarifas de Amazon	Tarifa de gestión logística por unidad	MXN$-82.95		DELL Latitude 3560 Negro Portátil 39.6 cm (15.6") 1366 x 768 Pixeles 2.2 GHz Intel® CoreTM i5 de quinta generación i5-5200U - Ordenador portátil (
10/07/2020	701-2829424-7000239	FK-2B92-ML2C	Pago del pedido	Otros	Impuesto del producto	MXN$758.62		DELL Latitude 3560 Negro Portátil 39.6 cm (15.6") 1366 x 768 Pixeles 2.2 GHz Intel® CoreTM i5 de quinta generación i5-5200U - Ordenador portátil (
10/07/2020	701-3023322-7477018	20-BR7F-FCGT	Pago del pedido	Cargos de productos		MXN$3,870.69	1	Xerox IMPXRX2370 Impresora Multifuncional Monocromática B215_Dni, 600 X 600 PPP, 31 Ppm, 250 Hojas, 30000 Páginas por Mes
10/07/2020	701-3023322-7477018	20-BR7F-FCGT	Pago del pedido	Tarifas de Amazon	Comisión	MXN$-387.07		Xerox IMPXRX2370 Impresora Multifuncional Monocromática B215_Dni, 600 X 600 PPP, 31 Ppm, 250 Hojas, 30000 Páginas por Mes
10/07/2020	701-3023322-7477018	20-BR7F-FCGT	Pago del pedido	Tarifas de Amazon	Tarifa de gestión logística por unidad	MXN$-178.65		Xerox IMPXRX2370 Impresora Multifuncional Monocromática B215_Dni, 600 X 600 PPP, 31 Ppm, 250 Hojas, 30000 Páginas por Mes
10/07/2020	701-3023322-7477018	20-BR7F-FCGT	Pago del pedido	Otros	Impuesto del producto	MXN$619.31		Xerox IMPXRX2370 Impresora Multifuncional Monocromática B215_Dni, 600 X 600 PPP, 31 Ppm, 250 Hojas, 30000 Páginas por Mes
10/07/2020	702-6022518-2704224	PT-VL0G-IQEB	Pago del pedido	Cargos de productos		MXN$5,603.45	1	Dell Latitude E5540 15.6inch Laptop, Intel Core i5-4300U, 240GB Unidad de Estado sólido, 8GB DDR3, DVDRW WIN10P64 (Renewed)
10/07/2020	702-6022518-2704224	PT-VL0G-IQEB	Pago del pedido	Reembolsos promocionales		MXN$0.00	1	Dell Latitude E5540 15.6inch Laptop, Intel Core i5-4300U, 240GB Unidad de Estado sólido, 8GB DDR3, DVDRW WIN10P64 (Renewed)
10/07/2020	702-6022518-2704224	PT-VL0G-IQEB	Pago del pedido	Tarifas de Amazon	Comisión	MXN$-560.35		Dell Latitude E5540 15.6inch Laptop, Intel Core i5-4300U, 240GB Unidad de Estado sólido, 8GB DDR3, DVDRW WIN10P64 (Renewed)
10/07/2020	702-6022518-2704224	PT-VL0G-IQEB	Pago del pedido	Tarifas de Amazon	Tarifa de gestión logística por unidad	MXN$-82.95		Dell Latitude E5540 15.6inch Laptop, Intel Core i5-4300U, 240GB Unidad de Estado sólido, 8GB DDR3, DVDRW WIN10P64 (Renewed)
10/07/2020	702-6022518-2704224	PT-VL0G-IQEB	Pago del pedido	Otros	Impuesto del producto	MXN$896.55		Dell Latitude E5540 15.6inch Laptop, Intel Core i5-4300U, 240GB Unidad de Estado sólido, 8GB DDR3, DVDRW WIN10P64 (Renewed)
10/07/2020	701-7980466-0638618	PT-VL0G-IQEB	Pago del pedido	Cargos de productos		MXN$5,603.45	1	Dell Latitude E5540 15.6inch Laptop, Intel Core i5-4300U, 240GB Unidad de Estado sólido, 8GB DDR3, DVDRW WIN10P64 (Renewed)
10/07/2020	701-7980466-0638618	PT-VL0G-IQEB	Pago del pedido	Reembolsos promocionales		MXN$0.00	1	Dell Latitude E5540 15.6inch Laptop, Intel Core i5-4300U, 240GB Unidad de Estado sólido, 8GB DDR3, DVDRW WIN10P64 (Renewed)
10/07/2020	701-7980466-0638618	PT-VL0G-IQEB	Pago del pedido	Tarifas de Amazon	Comisión	MXN$-560.35		Dell Latitude E5540 15.6inch Laptop, Intel Core i5-4300U, 240GB Unidad de Estado sólido, 8GB DDR3, DVDRW WIN10P64 (Renewed)
10/07/2020	701-7980466-0638618	PT-VL0G-IQEB	Pago del pedido	Tarifas de Amazon	Devolución de cargo por envío	MXN$-50.86		Dell Latitude E5540 15.6inch Laptop, Intel Core i5-4300U, 240GB Unidad de Estado sólido, 8GB DDR3, DVDRW WIN10P64 (Renewed)
10/07/2020	701-7980466-0638618	PT-VL0G-IQEB	Pago del pedido	Tarifas de Amazon	Tarifa de gestión logística por unidad	MXN$-82.95		Dell Latitude E5540 15.6inch Laptop, Intel Core i5-4300U, 240GB Unidad de Estado sólido, 8GB DDR3, DVDRW WIN10P64 (Renewed)
10/07/2020	701-7980466-0638618	PT-VL0G-IQEB	Pago del pedido	Otros	Envío	MXN$50.86		Dell Latitude E5540 15.6inch Laptop, Intel Core i5-4300U, 240GB Unidad de Estado sólido, 8GB DDR3, DVDRW WIN10P64 (Renewed)
10/07/2020	701-7980466-0638618	PT-VL0G-IQEB	Pago del pedido	Otros	Impuesto de envío	MXN$8.14		Dell Latitude E5540 15.6inch Laptop, Intel Core i5-4300U, 240GB Unidad de Estado sólido, 8GB DDR3, DVDRW WIN10P64 (Renewed)
10/07/2020	701-7980466-0638618	PT-VL0G-IQEB	Pago del pedido	Otros	Impuesto del producto	MXN$896.55		Dell Latitude E5540 15.6inch Laptop, Intel Core i5-4300U, 240GB Unidad de Estado sólido, 8GB DDR3, DVDRW WIN10P64 (Renewed)
10/07/2020	702-5947899-5100258	OJ-VU2Q-WRJV	Pago del pedido	Cargos de productos		MXN$2,327.59	1	Xerox WorkCentre 3025/BI - Impresora multifunción (Laser, 600 x 600 dpi, 1200 x 1200 dpi, A4, Azul, Color Blanco, 4800 x 4800 dpi)
10/07/2020	702-5947899-5100258	OJ-VU2Q-WRJV	Pago del pedido	Tarifas de Amazon	Comisión	MXN$-232.75		Xerox WorkCentre 3025/BI - Impresora multifunción (Laser, 600 x 600 dpi, 1200 x 1200 dpi, A4, Azul, Color Blanco, 4800 x 4800 dpi)
10/07/2020	702-5947899-5100258	OJ-VU2Q-WRJV	Pago del pedido	Tarifas de Amazon	Tarifa de gestión logística por unidad	MXN$-158.35		Xerox WorkCentre 3025/BI - Impresora multifunción (Laser, 600 x 600 dpi, 1200 x 1200 dpi, A4, Azul, Color Blanco, 4800 x 4800 dpi)
10/07/2020	702-5947899-5100258	OJ-VU2Q-WRJV	Pago del pedido	Otros	Impuesto del producto	MXN$372.41		Xerox WorkCentre 3025/BI - Impresora multifunción (Laser, 600 x 600 dpi, 1200 x 1200 dpi, A4, Azul, Color Blanco, 4800 x 4800 dpi)
09/07/2020	701-4527542-0897840	PT-VL0G-IQEB	Reembolso	Cargos de productos		MXN$-5,603.45	1	Dell Latitude E5540 15.6inch Laptop, Intel Core i5-4300U, 240GB Unidad de Estado sólido, 8GB DDR3, DVDRW WIN10P64 (Renewed)
09/07/2020	701-4527542-0897840	PT-VL0G-IQEB	Reembolso	Tarifas de Amazon	Comisión por reembolso	MXN$-75.01		Dell Latitude E5540 15.6inch Laptop, Intel Core i5-4300U, 240GB Unidad de Estado sólido, 8GB DDR3, DVDRW WIN10P64 (Renewed)
